Utilisateur,Date,Contenu,Processed_Contenu,Sentiment
Cara,2024-06-10 12:15:13+00:00,"Bonjour à toutes,J'ai récemment découvert les bienfaits du Hatha Yoga traditionnel et cela m'a fait réfléchir sur son potentiel impact positif pour celles qui traversent un parcours de PMA. Je me demande si certaines d'entre vous ont déjà essayé d'intégrer le yoga dans leur routine pour gérer le stress et améliorer leur bien-être pendant ce parcours souvent éprouvant. Pensez-vous que cela pourrait réellement faire une différence ? Vos expériences et avis seraient grandement appréciés !",bonjour à toutes j ai récemment découvert bienfaits hatha yoga traditionnel m a réfléchir potentiel impact positif celles traversent un parcours de pma me demande certaines d entre ont déjà essayé d intégrer yoga routine gérer stress améliorer bien pendant parcours souvent éprouvant pensez pourrait réellement faire une différence vos expériences avis seraient grandement appréciés,Neutral
MimiMango,2021-04-24 11:15:23+00:00,"Hello hello,Alors voilà, pour résumer les choses, autant quelques jours après la première stim notre sexualité a connu une période pleine de sensualité et de vitalité, autant après la seconde, c'est-la-mort... Habituellement, je suis assez demandeuse, mais en ce moment, je me sens si desséchée-fanée de l'intérieur, que ma libido est plus basse qu'elle n'a jamais étépour vous dire : j'ai pour seul désire celui qu'on ne me touche pas... Avec mon conjoint nous pouvons en parler sans problème, il peut (essayer de) comprendre ce que je vis, mais le pauvre ne peut absolument rien faire, mis à part se montrer tendre et patient, de mon côté je ne sais pas quoi faire non plus (d'où ma présence ici). Comme j'ai peu d'expérience en PMA, je ne sais pas si cette période risque de s'éterniser... Du coup je me laisse entraînée dans des anticipations anxieuses foireuses à l'occasion desquelles je me dis qu'à la longue, ça pourrait signer la fin de notre vie sexuelle, voire pire, la fin du couple. Je dramatise peut être un peu, mais je sens bien qu'il ne va pas falloir que ça dure des lustres...Est ce que certaines d'entre vous sont déjà passées par là ? Est ce que c'est normal ? Jusqu'où cela vous a mené? Et jusqu'où cela a mené votre couple ? Qu'avez vous fait pour y remédier ?D'avance, merci de vos réponses",hello hello voilà résumer choses autant quelques jour après première stim sexualité a connu une période pleine de sensualité de vitalité autant après seconde c mort habituellement suis assez demandeuse moment me sens desséchée fanée de l intérieur libido plus basse qu n a jamais étépour dire j ai seul désire celui qu on ne me touche conjoint pouvons parler problème essayer de comprendre vis pauvre ne absolument rien faire mis à part se montrer tendre patient de côté ne sais quoi faire non plus d présence j ai d expérience pma ne sais cette période risque de s éterniser me laisse entraînée anticipations anxieuses foireuses à l occasion desquelles me dis qu à longue pourrait signer fin de vie sexuelle voire pire fin couple dramatise un sens bien qu ne va falloir dure lustres certaines d entre déjà passées c normal jusqu a mené jusqu a mené couple qu avez y remédier d avance merci de vos réponses,Positive
Loulounette,2021-04-24 12:45:51+00:00,"Hello, alors clairement PMA et libido ne font pas bon ménage, mais je pense que c’est commun à tout le monde!Beaucoup de traitements déjà très font naturellement baisser la libido d’une part. Sans parler du côté non glamour par exemple les ovules de progestérone. Et puis c’est quand même super stressant comme moment.Je crois qu’il faut accepter que c’est une épreuve pour le couple et que c’est normal d’avoir une libido en berne, mais ce n’est pas la priorité et c’est ok.Lors des périodes sans essais on arrivait à se retrouver, mais moins qu’avant c’est certain. Je suis enceinte donc ça change aussi beaucoup la dynamique, mais j’espère qu’on retrouvera une sexualité plus cool après.Une chose qui m’avait aidée pendant le parcours est de complètement arrêter de calculer les périodes d’ovulation etc. Je m’étais en gros faite une raison que ça n’allait pas marcher naturellement, et ça enlève beaucoup de pressions. Donc c’est plus cool.Bon courage pour votre parcours",hello clairement pma libido ne ménage pense c’est commun à monde beaucoup de traitements déjà naturellement baisser libido d’une part parler côté non glamour exemple ovules de progestérone puis c’est super stressant moment crois qu’il faut accepter c’est une épreuve couple c’est normal d’avoir une libido berne n’est priorité c’est lors périodes essais on arrivait à se retrouver qu’avant c’est certain suis enceinte change beaucoup dynamique j’espère qu’on retrouvera une sexualité plus cool après une chose m’avait aidée pendant parcours de complètement arrêter de calculer périodes d’ovulation etc m’étais gros faite une raison n’allait marcher naturellement enlève beaucoup de pressions c’est plus cool courage parcours,Positive
Lore,2024-05-03 09:58:37+00:00,"Coucou les filles,Ca me rassure de voir ce sujet ici... car je commençais à me demandais si c'était normal que je traverse cette situation. Nous avons fait notre 1ère FIV, qui n'a pas fonctionné car aucun embryon n'a été transférable. Depuis le début du protocole environ, ma libido est en chute libre avec vraiment 0 envie, pas envie qu'on me touche sauf pour de la tendresse. Mon conjoint est compréhensif mais cela est tout de même perturbant et j'ai peur que cela dure longtemps. Je me sens mal à lui dire non casi tout le temps alors qu'avant tout ça nous avions des rapports très souventEst ce que certaines ont le même vécu? Ou pour celles qui ont plus d'expérience dans le parcours PMA, est ce que cela revient vite? Des conseils?",coucou fille ca me rassure de voir commençais à me demandais c était normal traverse cette situation avons 1ère fiv n a fonctionné aucun embryon n a transférable protocole environ libido chute libre vraiment 0 envie envie qu on me touche sauf de tendresse conjoint compréhensif de perturbant j ai peur dure longtemps me sens mal à lui dire non casi temps qu avions rapports souventest certaines ont vécu celles ont plus d expérience parcours pma revient vite conseils,Positive
Shemsy,2018-09-04 23:23:49+00:00,"Bonsoir Pauline,Tu nous tiendras au courant de ton rdv jeudi?Tu seras fixée sur quand reprendre la PMA, je suis sure que ça va t'aider à avancer.C'est bien que ton cycle soit rapidement revenu.C'est que ca se remet en ordre dans ton corps !Moi apres une 15aine de jours de saignement mon cycle avait mis 2 mois et demi à revenir.Bonne nuit",bonsoir pauline tiendras courant de rdv jeudi seras fixée reprendre pma suis sure va t aider à avancer c bien cycle soit rapidement revenu c ca se remet ordre corps moi apres une 15aine de jour de saignement cycle avait mis 2 mois demi à revenir bonne nuit,Positive
Shemsy,2018-09-25 13:36:39+00:00,"Nevelena,Comme je te l'ai dit, je suis tellement désolée pour toi...Je sais que c'est facile de dire ça avec le recul que j'ai maintenant compte tenu du temps qui est passé, mais on se remet de cette blessure.Moi je suis repartie assez rapidement en fiv, car il me fallait autre chose pour continuer... c'était sûrement une fuite en avant, mais j'en avais besoin.J'ai donc repris rdv en PMA 3 mois plus tard, et on est repartis pour un parcours FIV un ou deux mois plus tard.La chose que j'aurai du faire, c'est voir la psy.Tu as raison de le faire, ça fait du bien.J'ai beaucoup intériorisé, et je pense pas que ce soit la meilleure façon de faire...La psy de la PMA connait ça, et elle pourra t'aider à avancer.Pour les saignements je ne pourrai pas t'aider car j'ai fait une hémorragie avant le curetage en urgence et du coup ça a continué après (beaucoup moins fort).Tu peux envoyer un message à la PMA ou appeller ton gyneco...Concernant la reprise du boulot, c'est vraiment comme toi tu le sens.Moi j'ai eu besoin de me reposer car physiquement ça avait été très compliqué, mais aussi je me sentais trop lasse pour quoi que ce soit. C'est vraiment comme toi tu le sens, je ne crois pas qu'il y ait de règles en la matière...Je sais à quel point c'est difficile de passer de femme enceinte à celle qui n'a plus de bébé, comme cela dechire le coeur...C'est dur, mais on le surmonte petit à petit.Que te dire de plus à part que je suis de tout coeur avec toi...Courage, je sais que ce n'est pas facile, mais le temps va panser tes blessures.Et tu as aussi ton chéri, n'hésite pas à lui parler.",nevelena te l ai dit suis désolée toi sais c facile de dire recul j ai compte tenu temps passé on se remet de cette blessure moi suis repartie assez rapidement fiv me fallait chose continuer c était sûrement une fuite j avais besoin j ai repris rdv pma 3 mois plus tard on repartis un parcours fiv un deux mois plus tard chose j aurai faire c voir psy as raison de faire bien j ai beaucoup intériorisé pense soit meilleure façon de faire psy de pma connait pourra t aider à avancer saignements ne pourrai t aider j ai une hémorragie curetage urgence a continué après beaucoup fort peux envoyer un message à pma appeller gyneco concernant reprise boulot c vraiment toi sens moi j ai besoin de me reposer physiquement avait compliqué me sentais lasse quoi soit c vraiment toi sens ne crois qu y ait de règles matière sais à point c difficile de passer de femme enceinte à celle n a plus de bébé dechire coeur c dur on surmonte petit à petit te dire de plus à part suis de coeur toi courage sais n facile temps va panser blessures as chéri n hésite à lui parler,Neutral
po0upinette,2018-11-04 14:55:45+00:00,"Bonjour les fillesJe peux me joindre à vous ?Je m'apprête à vivre une fausse couche (précoce). Après presque 6 ans de PMA, nous avons enfin eu un ++ mercredi, avec un tout petit taux mais on y croyait quand même. 2ème pds hier et mon taux n'a pas évolué.Je vous avouerai que comme vous toutes, surtout celles qui étaient bien + avancées dans leur grossesse, que vous aviez déjà planifié pas mal de chose ... Il s'avérait que je devais effectuer une echo 1 mois après le transfert et que ça tombait le jour de mon anniversaire, et je m'étais dit que comme notre famille est loin et que nous ne nous voyons pas souvent, on aurait fait l'annonce à Noel pour les 3 mois.Oui j'ai sais, j'ai vu loin, mais je la désirais tellement fort cette grossesse, je l'aimais déjà tellement ce petit embryon, notre petit warrior.Le biologiste n'était pas très chaud pour le transfert car tous les embryons étaient selon lui ""pas parfait"", mais j'ai quand même voulu maintenir le transfert à J2, tous les autres n'ont pas tenue en culture prolongée. Donc nous n'avons rien, il faut tout recommencer.Je sature, au bout de 8 ans, tous ces traitements, ces espoirs, ces échecs, les fêtes qui arrivent, je n'ai plus goût à rien...Bonne fin d'aprem à vous",bonjour fillesje peux me joindre à m apprête à vivre une fausse couche précoce après presque 6 ans de pma avons enfin un mercredi un petit taux on y croyait 2ème pds hier taux n a évolué avouerai toutes surtout celles bien avancées grossesse aviez déjà planifié mal de chose s avérait devais effectuer une echo 1 mois après transfert tombait jour de anniversaire m étais dit famille loin ne voyons souvent on aurait l annonce à noel 3 mois oui j ai sais j ai loin désirais fort cette grossesse l aimais déjà petit embryon petit warrior biologiste n était chaud transfert embryons selon lui parfait j ai voulu maintenir transfert à j2 autres n ont tenue culture prolongée n avons rien faut recommencer sature bout de 8 ans traitements espoirs échecs fêtes arrivent n ai plus goût à rien bonne fin d aprem à,Neutral
BleuRose,2019-05-01 16:27:42+00:00,"Bonjour à toutes,Je vous ai lues et j'ai souvent été émues par vos histoires éprouvantes.J'espère que tout se passe bien pour celles qui sont en attente ou en cours de traitement, et pour celles qui sont enceintesJe viens ajouter ma pierre au triste édifice des fausses couches... En parler avec vous, qui avez vécu cette épreuve et qui comprenez mieux que personne, me fera du bien.J'ai 40 ans, mon mari 48 ans. Après 2 ans d'essais bébé dont bientôt 1 an de PMA, j'avais enfin réussi à tomber enceinte pour la première fois de ma vie après mon TEC de début avril. Quelle émotion ! On aurait un bébé pour Noël !Mais nous restions sur nos gardes car mes taux évoluaient lentement et ne doublaient pas, et j'avais de légers saignements depuis 5 sa.Mon gynéco était pessimiste (pléonasmeEn fait il est le pessimisme incarné !) sur l'évolution de ma grossesse.J'ai quand même eu le temps de faire une écho à pile 6 sa jeudi dernier, et de voir le minuscule (trop petit d'après mon gynéco) embryon avec petite activité cardiaque !Mais son petit coeur n'aura hélas pas battu longtemps car le lendemain (vendredi) j'ai fait une fausse couche à 6 sa+1Comme vous toutes, j'ai eu l'impression que le ciel me tombait sur la tête. Tous nos projets s'écroulaient.J'ai tout de suite pleuré, beaucoup pleuré.Mon mari avait besoin d'être actif pour supporter son désarroi, il a passé frénétiquement l'aspirateur dans tout l'appartement !Au résultat du positif mi-avril, nous étions tellement heureux et pleins de projets. Nous commencions à réfléchir à l'organisation des vacances d'été, comment ne pas le dire trop tôt à nos parents (on a bien fait de ne rien leur dire !) etc etc ...Depuis cette fausse-couche vendredi j'ai vraiment du mal à refaire surface . Le week-end a été très dur. J'ai l'impression d'un grand vide, je n'ai plus d'énergie... Et surtout je flippe pour la suite, le temps qui passe inexorablement. Est-ce que ça marchera un jour ? Beaucoup de doutes et d'inquiétude.Enfin vous connaissez malheureusement bien cet état j'imagine.Je devais revoir mon gynéco dans une semaine pour une nouvelle écho, maintenant ce sera pour voir la suite du parcours car il faut tout recommencer pour une troisième fiv...Ayant déjà 40 ans, je ne peux hélas pas me permettre de faire de pause car le temps passe, et mes ovocytes fatiguent de plus en plus.J'espère que mes cycles vont vite reprendre et que je pourrai refaire une fiv 3 avant l'été.Je savais avant de commencer que les parcours de PMA étaient très durs, mais je crois que tant qu'on n'est pas dedans, on n'imagine pas à quel point c'est aussi difficile et éprouvant.Courage à toutes et merci de m'avoir lue",bonjour à toutes ai lues j ai souvent émues vos histoires éprouvantes j espère se passe bien celles attente cours de traitement celles enceintesje viens ajouter pierre triste édifice fausses couches parler avez vécu cette épreuve comprenez mieux personne me fera bien j ai 40 ans mari 48 ans après 2 ans d essais bébé dont bientôt 1 an de pma j avais enfin réussi à tomber enceinte première de vie après tec de avril émotion on aurait un bébé noël restions nos gardes taux évoluaient lentement ne doublaient j avais de légers saignements 5 gynéco était pessimiste pléonasmeen pessimisme incarné l évolution de grossesse j ai temps de faire une écho à pile 6 jeudi dernier de voir minuscule petit d après gynéco embryon petite activité cardiaque petit coeur n aura hélas battu longtemps lendemain vendredi j ai une fausse couche à 6 1comme toutes j ai l impression ciel me tombait tête nos projets s écroulaient j ai de suite pleuré beaucoup pleuré mari avait besoin d actif supporter désarroi a passé frénétiquement l aspirateur l appartement résultat positif mi avril heureux pleins de projets commencions à réfléchir à l organisation vacances d ne dire tôt à nos parents on a bien de ne rien dire etc etc cette fausse couche vendredi j ai vraiment mal à refaire surface week end a dur j ai l impression d un grand vide n ai plus d énergie surtout flippe suite temps passe inexorablement marchera un jour beaucoup de doutes d inquiétude enfin connaissez malheureusement bien cet j imagine devais revoir gynéco une semaine une nouvelle écho sera voir suite parcours faut recommencer une troisième fiv ayant déjà 40 ans ne peux hélas me permettre de faire de pause temps passe ovocytes fatiguent de plus plus j espère cycles vite reprendre pourrai refaire une fiv 3 l savais de commencer parcours de pma durs crois tant qu on n on n imagine à point c difficile éprouvant courage à toutes merci de m lue,Positive
Espoire,2019-07-13 14:47:05+00:00,"Coucou les filles,J’ai un peu le moral à zéro aujourd'hui. Pour que vous compreniez la situation, j’ai une grande sœur de 41ans ayant exactement les mêmes soucis d’infertilité que nous, et qui essaie d’avoir un bébé depuis quasiment 20ans. Ils avaient entamé les démarche en PMA il y a une dizaine d’années, mais la prise en charge vers une FIV leur a été refusé par rapport à l’obésité morbide de ma soeur. Ils ont donc laissé tombé la pma juste après les 1ers examens, et voilà que ce matin elle m’annonce qu’elle est enceinte ( test de grossesse digitalà +3semaines ) et que c’est un bébé couette ! Alors vous allez me dire, mais mon dieu c’est merveilleux, un miracle de la vie qui redonne espoir... oui certes, et au fond c’est ma sœur et je vais encore être tata donc oui, je suis contente pour elle mais purée comme ça fait mal. Et pour mieux comprendre pourquoi j’ai beaucoup de mal à me réjouir pour elle et que je trouve ça injuste, c’est qu’elle est bien évidemment au courant de mon parcours PMA et au lieu de me soutenir et me réconforter en tant que sœur, depuis toujours elle n’a fait qu’être mauvaise avec moi par jalousie. Jusqu’à me faire culpabiliser lors de ma fausse couche en me disant que je l’avais sans doute provoquée... je ne raconte même pas le tiers des méchancetés que j’ai reçu de sa part parce que je pourrais en faire un livre, et aujourd'hui c’est elle qui est récompensée ? Je trouve la vie tellement injuste",coucou fille j’ai un moral à zéro aujourd hui compreniez situation j’ai une grande sœur de 41ans ayant exactement mêmes soucis d’infertilité essaie d’avoir un bébé quasiment 20ans avaient entamé démarche pma y a une dizaine d’années prise charge vers une fiv a refusé rapport à l’obésité morbide de soeur ont laissé tombé pma après 1ers examens voilà matin m’annonce qu’elle enceinte test de grossesse digitalà 3semaines c’est un bébé couette aller me dire dieu c’est merveilleux un miracle de vie redonne espoir oui certes fond c’est sœur vais tata oui suis contente purée mal mieux comprendre j’ai beaucoup de mal à me réjouir trouve injuste c’est qu’elle bien évidemment courant de parcours pma lieu de me soutenir me réconforter tant sœur toujours n’a qu’être mauvaise moi jalousie jusqu’à me faire culpabiliser lors de fausse couche me disant l’avais doute provoquée ne raconte tiers méchancetés j’ai reçu de part pourrais faire un livre aujourd hui c’est récompensée trouve vie injuste,Neutral
Alex44140,2019-07-15 14:55:15+00:00,"BonjourJe suis nouvelle sur ce forum et j'avais besoin de me confier à vous.cela va faire déjà 1 an que notre parcours en PMA a débuter. Nous avons eu notre première fiv avec au final 3 beau embryon. Un premier transfère embryon frais à été fait en mars 2019 avec un échec taux à 6 puis négatif.Puis le 21 juin tec avec une beauavec un taux à 254 puis 621 et enfin 1700. Seulement voilà j'ai des saignements et je sens que quelque chose ne vas pas on me fait 2 echo avec intervalle de 2 jours RAS ça évolue même et le lendemain de ma dernière echo douleur ventre et des saignement plus intense au travail.je décide de quitter le taf et direction urgence. Et la fausse couche,je mefondre de douleur et d'impuissance.depuis je suis en arrêt de travail mais je sais pas si j'aurais la force de subir à nouveau cette épreuve. On avait tellement d'espoir en cette grossesse et tout c'est écroulé c'est vraiment dur...",bonjourje suis nouvelle forum j avais besoin de me confier à va faire déjà 1 an parcours pma a débuter avons première fiv final 3 beau embryon un premier transfère embryon frais à mars 2019 un échec taux à 6 puis négatif puis 21 juin tec une beauavec un taux à 254 puis 621 enfin 1700 voilà j ai saignements sens quelque chose ne vas on me 2 echo intervalle de 2 jour ras évolue lendemain de dernière echo douleur ventre saignement plus intense travail décide de quitter taf direction urgence fausse couche mefondre de douleur d impuissance suis arrêt de travail sais j aurais de subir à nouveau cette épreuve on avait d espoir cette grossesse c écroulé c vraiment dur,Positive
